Story ID,Phase,Epic,Summary,Story,Acceptance Criteria,Story Points,Suggested Sprint
S1.1,Phase 1,E1.1 Platform-ready client architecture,Shared platform service interface,"As a developer, I can call auth, storage, and presence through one PlatformServices interface.","Web and Steam adapters compile against the same interface; Game boot selects adapter by build target; No direct Steam API usage outside steam adapter",3,Sprint 1
S1.2,Phase 1,E1.1 Platform-ready client architecture,Steam build profile and packaging,"As a developer, I can produce a Steam-ready build from CI.","CI outputs signed artefact for Steam upload; Build contains no CDN/runtime network dependency for core gameplay; Smoke test launches the packaged build locally",5,Sprint 2
S1.3,Phase 1,E1.1 Platform-ready client architecture,Runtime feature flags,"As a developer, I can enable or disable online, ranked, and debug features per environment.","Flags are loaded from environment or config; Dev, staging, and production configs are separate; Disabled features are hidden from UI",2,Done
S1.4,Phase 1,E1.2 Determinism and rollback prerequisites,Deterministic RNG policy,"As a developer, I can guarantee deterministic random behaviour by seed and frame.","All random calls in sim use one deterministic RNG utility; Seed can be set at match start; Replay with same seed and inputs produces same checksum sequence",3,Sprint 1
S1.5,Phase 1,E1.2 Determinism and rollback prerequisites,Full state serialise and restore,"As a developer, I can save and restore full simulation state at any frame.","State snapshot includes all fields needed for deterministic replay; Restore rewinds and resumes without crash; Snapshot and restore are covered by tests",5,Sprint 2
S1.6,Phase 1,E1.2 Determinism and rollback prerequisites,Frame checksum and replay runner,"As QA, I can run a replay and detect divergence by checksum.","CLI takes input log and produces frame checksums; CI fails on checksum mismatch; Report includes first divergent frame",5,Sprint 2
S1.7,Phase 1,E1.3 Accounts and profile baseline,Account schema and identity linking,"As an operator, I can link one account to Steam and web identities.","Tables exist for accounts and identities; Uniqueness rules prevent duplicate provider identity links; Audit trail records linking events",3,Sprint 1
S1.8,Phase 1,E1.3 Accounts and profile baseline,Profile API,"As a player, I can persist profile settings and preferred input layout.","Authenticated GET and PUT /profile endpoints exist; Server validation enforces schema and bounds; Client caches profile for offline fallback",3,Sprint 1
S1.9,Phase 1,E1.3 Accounts and profile baseline,Steam sign-in path,"As a Steam player, I can sign in and load my profile automatically.","Steam auth token exchange endpoint exists; Account is created or linked on first sign-in; Failed auth shows a clear recovery message",5,Sprint 2
S1.10,Phase 1,E1.4 Training mode and frame-data tooling,Training mode sandbox loop,"As a player, I can launch a no-win training session for drills and matchup practice.","Training mode can be started from home menu without affecting match records; Round timer and win conditions are disabled in training mode; Training restart is available without returning to home menu",3,Done
S1.11,Phase 1,E1.4 Training mode and frame-data tooling,Move frame-data registry,"As a combat designer, I can maintain startup, active, and recovery frame data per move in one data registry.","Each combat move has explicit frame data values startup, active, recovery, and whiff recovery where relevant; Simulation consumes frame data from the registry rather than scattered hardcoded timings; Frame data uses 60Hz frame units and is easy to rebalance",5,Sprint 3
S1.12,Phase 1,E1.4 Training mode and frame-data tooling,Frame data visualiser overlay,"As a player, I can view frame data overlays in training mode.","Overlay shows move frame data values from the registry for both players; Overlay can be shown or hidden with keyboard and controller; Overlay has negligible impact on frame pacing on baseline hardware",5,Sprint 3
S1.13,Phase 1,E1.5 Visual content pipeline and asset strategy,Asset manifest and loader abstraction,"As a developer, I can register and load visual assets from manifests rather than hardcoded file paths.","Manifest format supports models, sprites, textures, audio, and shader config references; Loader supports async preloading with progress and error reporting; Missing or invalid assets fail with clear diagnostics",3,Sprint 5
S1.14,Phase 1,E1.5 Visual content pipeline and asset strategy,Character visual profile abstraction (3D, sprite, hybrid),"As a designer, I can assign a character to 3D, sprite, or hybrid visual presentation without changing sim code.","Character visual profile maps gameplay ids to renderer assets and animation sets; Renderer supports at least one 3D profile and one sprite profile behind one interface; Existing placeholder fighters continue working through the profile system",5,Sprint 5
S1.15,Phase 1,E1.5 Visual content pipeline and asset strategy,VFX event binding and tuning presets,"As a VFX designer, I can configure boost, launch, parry, projectile, and dunk effects from data.","View layer binds sim combat events to VFX presets; VFX presets support particles, trails, flashes, and sound cues; Preset values are editable from data files without gameplay code edits",3,Sprint 5
S1.16,Phase 1,E1.5 Visual content pipeline and asset strategy,Asset budgets and validation checks,"As a technical artist, I can enforce asset budgets so memory and performance stay stable.","Budget targets exist for texture memory, mesh complexity, and VFX counts; Build-time validation reports assets that exceed budgets; Runtime debug panel shows key memory counters in dev builds",5,Sprint 5
S1.17,Phase 1,E1.6 Audio pipeline (SFX, music, voice lines),Audio event bus and routing,"As a developer, I can drive SFX, music, and voice lines from gameplay events through one audio interface.","Sim or view events map to typed audio events without hardcoded clip paths in gameplay logic; Audio routing supports buses for master, music, SFX, and voice; Missing audio events fail with clear diagnostics in dev builds",3,Sprint 6
S1.18,Phase 1,E1.6 Audio pipeline (SFX, music, voice lines),Adaptive music state system,"As a player, music transitions reflect match state and intensity.","Music supports layered or state-based playback for menu, neutral, launch, and end states; Transitions use configurable fades and do not click or pop; Music system supports deterministic triggers for replay consistency where required",5,Sprint 6
S1.19,Phase 1,E1.6 Audio pipeline (SFX, music, voice lines),Voice line and callout system,"As a designer, I can configure character voice lines for key actions and outcomes.","Voice line tables are data-driven per character and event; Trigger rules support cooldowns, priorities, and anti-spam limits; System supports locale-specific voice packs and safe fallback when files are missing",3,Sprint 6
S1.20,Phase 1,E1.6 Audio pipeline (SFX, music, voice lines),Mix, loudness, and accessibility controls,"As a player, I can control audio mix and keep speech understandable during intense action.","Expose volume sliders for master, music, SFX, and voice in settings; Implement ducking rules so voice or important cues remain audible during heavy effects; Add accessibility options for dynamic range mode and persistent subtitle toggles for voice lines",5,Sprint 6
S1.21,Phase 1,E1.7 Enemy AI and arcade mode,Enemy AI behaviour framework,"As a developer, I can run deterministic enemy decision logic from the simulation layer.","AI policy runs in src/sim without renderer or DOM dependencies; AI input output uses the same FrameInput structure as human players; AI ticks are deterministic under fixed seed and fixed timestep replay",5,Sprint 7
S1.22,Phase 1,E1.7 Enemy AI and arcade mode,AI difficulty profiles,"As a player, I can choose AI difficulty that changes aggression, defence, and error rate.","At least four difficulty profiles exist and are data-driven; Difficulty profiles control reaction delays, action weighting, and risk appetite; Difficulty selection is available from menu and persists in profile settings",3,Sprint 7
S1.23,Phase 1,E1.7 Enemy AI and arcade mode,Single-player arcade mode flow,"As a player, I can play an arcade ladder against multiple AI opponents.","Arcade mode includes staged opponent progression and a final encounter; Continue and retry rules are configurable; Arcade completion summary screen is implemented",5,Sprint 7
S1.24,Phase 1,E1.7 Enemy AI and arcade mode,Arcade rewards and run history,"As a player, I can see recent arcade runs and best completion records.","Run summaries store character, difficulty, result, and completion time; Best records are shown per character and difficulty; History storage works offline and syncs when account services are available",3,Sprint 7
